source_dataset,target_dataset,accuracy,auc,eer,eer_threshold,num_images,num_live,num_spoof
OULU-NPU,CASIA,0.6120612061206121,0.4193008970474663,0.5564563654725836,0.02079281397163868,11110,1810,9300
OULU-NPU,MSU-MFSD,0.6822592684747449,0.6015545604217216,0.41684436913701917,0.005922787357121706,4019,1053,2966
OULU-NPU,Replay-Attack,0.4912343653885585,0.3887431216077648,0.5488508609868642,0.0025587501004338264,19508,7600,11908
