source_dataset,target_dataset,accuracy,auc,eer,eer_threshold,num_images,num_live,num_spoof
OULU-NPU,CASIA,0.28064806480648063,0.23400721796471213,0.6989636428444127,0.6668263673782349,11110,1810,9300
OULU-NPU,MSU-MFSD,0.609355561084847,0.6408053539993301,0.41681347132010205,0.2510690689086914,4019,1053,2966
OULU-NPU,Replay-Attack,0.48272503588271476,0.3918927843731768,0.5456287458232414,0.006059753242880106,19508,7600,11908
