method,accuracy,auc,eer
Baseline,0.45757622059134745,0.422235118779073,0.5538019533292521
Strong,0.5951849466613052,0.4698661930256509,0.5073838651988223
Appearance,0.5059856833881737,0.4717146159462826,0.5173759755246923
MixStyle,0.5359274521684925,0.46562512355659313,0.5225776792865475
Fourier,0.5840015536629798,0.5375579467821637,0.484219149438496
