source_dataset,target_dataset,accuracy,auc,eer,eer_threshold,num_images,num_live,num_spoof
OULU-NPU,CASIA,0.336993699369937,0.3167632923424226,0.6458851660428919,0.6236999034881592,11110,1810,9300
OULU-NPU,MSU-MFSD,0.7529236128390147,0.6574626392563008,0.395777661230572,0.006334339734166861,4019,1053,2966
OULU-NPU,Replay-Attack,0.6620873487799877,0.6384479087477679,0.41099462104202394,0.033450473099946976,19508,7600,11908
